Buckle Island
Operated by US
latitude -66.87 longitude 163.24 height 520m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1987 03 26 03 00   925.1    -7.2     8.2    65                                  
1987 03 26 06 00   923.7    -7.9     3.3   100                                  
1987 03 26 09 00   920.7    -7.2    15.0   101                                  
1987 03 26 12 00   917.8    -6.1    17.4    98                                  
1987 03 26 15 00   916.9    -5.4     9.2    70                                  
1987 03 26 18 00   916.2    -5.0     9.2   170                                  
1987 03 26 21 00   915.6    -4.7     9.2    98                                  
1987 03 27 00 00   915.4    -4.4    16.4   114                                  
1987 03 27 03 00   914.5    -3.8    11.1    82                                  
1987 03 27 06 00   914.4    -3.8    10.1    77                                  
1987 03 27 09 00   914.4    -3.8    10.5    90                                  
1987 03 27 12 00   915.1    -4.4    10.1    83                                  
1987 03 27 15 00   915.3    -4.5    14.4    89                                  
1987 03 27 18 00   916.7    -5.0     5.8    82                                  
1987 03 27 21 00   917.8    -5.4     2.3    79                                  
1987 03 28 00 00   919.5    -4.7    19.3    98                                  
1987 03 28 03 00   921.9    -5.4    13.5    87                                  
1987 03 28 06 00   923.7    -6.6     8.2    83                                  
1987 03 28 09 00   924.6    -7.0     9.2    86                                  
1987 03 28 12 00   924.0    -6.5    14.0    70                                  
1987 03 28 15 00   923.9    -6.1    15.0   104                                  
1987 03 28 18 00   922.4    -7.0     9.2    98                                  
1987 03 28 21 00   922.6    -6.6    17.7   101                                  
1987 03 29 00 00   922.9    -6.3    12.5    96                                  
1987 03 29 03 00   925.2    -7.0     4.3    86                                  
1987 03 29 06 00   928.1    -7.6    23.2   110                                  
1987 03 29 09 00   931.0    -8.5    10.1   127                                  
1987 03 29 12 00   933.5    -9.0     8.2   145                                  
1987 03 29 15 00   935.3   -10.0    12.5   155                                  
1987 03 29 18 00   936.0   -10.4     0.0     0                                  
1987 03 29 21 00   935.8   -11.7     0.0     0                                  
1987 03 30 00 00   933.8   -11.1    10.1   349                                  
1987 03 30 03 00   932.1   -10.0    12.5   339                                  
1987 03 30 06 00   928.6    -9.0    15.0    14                                  
1987 03 30 09 00   926.1    -8.4    23.2   295                                  
1987 03 30 12 00   924.6    -9.7    23.2   284                                  
1987 03 31 00 00   926.1    -7.1     0.0     0                                  
1987 03 31 03 00   926.3    -4.4    25.9   314                                  
1987 03 31 06 00   928.4    -4.6    15.0   359                                  
1987 03 31 09 00   929.0    -4.2    20.3    31                                  
1987 03 31 12 00   928.9    -4.1    32.8    48                                  
1987 03 31 15 00   925.5    -3.8    26.9    44                                  
1987 03 31 18 00   925.1    -3.8    29.4    55                                  
1987 03 31 21 00   924.8    -3.1    18.7    38                                  
1987 04 01 00 00   925.1    -2.5    15.4    16                                  
1987 04 01 03 00   925.1    -2.0    10.1    16                                  
1987 04 01 06 00   925.3    -2.2     3.3    25                                  
1987 04 01 09 00   925.8    -3.1     2.9    39                                  
1987 04 01 12 00   926.3    -4.2     0.0     0                                  
1987 04 01 15 00   926.3    -5.2     2.9     1                                  
1987 04 01 18 00   926.4    -5.5     2.0     1                                  
1987 04 01 21 00   926.6    -5.9     3.3     1                                  
1987 04 02 00 00   926.9    -5.4     7.2     1                                  
1987 04 02 03 00   926.0    -4.7     6.2    14                                  
1987 04 02 06 00   925.6    -5.5     0.0     0                                  
1987 04 02 09 00   925.9    -6.5     1.0   360                                  
1987 04 02 12 00   926.5    -5.7     0.0     0                                  
1987 04 02 15 00   926.7    -5.9     0.0     0                                  
1987 04 02 18 00   928.0    -5.7     0.0     0                                  
1987 04 02 21 00   930.4    -4.9     0.0     0                                  
1987 04 03 00 00   931.4    -4.6     0.0     0                                  
1987 04 03 03 00   932.5    -5.0     0.0     0                                  
1987 04 03 06 00   933.0    -5.4     0.0     0                                  
1987 04 03 09 00   933.7    -5.6     0.0     0                                  
1987 04 03 12 00   934.3    -5.9     0.0     0                                  
1987 04 03 15 00   934.3    -5.7     0.0     0                                  
1987 04 03 18 00   934.2    -5.9     0.0     0                                  
1987 04 03 21 00   934.5    -5.5     0.0     0                                  
1987 04 04 00 00   934.5    -5.2     0.0     0                                  
1987 04 04 03 00   934.3    -4.7     0.0     0                                  
1987 04 04 06 00   934.6    -5.0     0.0     0                                  
1987 04 04 09 00   935.0    -5.2     0.0     0                                  
1987 04 04 12 00   934.5    -5.2     0.0     0                                  
1987 04 04 15 00   933.6    -5.4     0.0     0                                  
1987 04 04 18 00   932.2    -5.5     0.0     0                                  
1987 04 04 21 00   929.8    -5.7     0.0     0                                  
1987 04 05 00 00   927.6    -5.5     0.0     0                                  
1987 04 05 03 00   925.2    -5.2     0.0     0                                  
1987 04 05 06 00   924.5    -5.7     0.0     0                                  
1987 04 05 09 00   923.8    -5.7     0.0     0                                  
1987 04 05 12 00   923.6    -5.4     0.0     0                                  
1987 04 05 15 00   925.3    -5.2     0.0     0                                  
1987 04 05 18 00   927.1    -5.4     0.0     0                                  
1987 04 05 21 00   929.1    -5.5     0.0     0                                  
1987 04 06 00 00   931.2    -5.2     0.0     0                                  
1987 04 06 03 00   932.7    -5.7     0.0     0                                  
1987 04 06 06 00   934.4    -6.1     0.0     0                                  
1987 04 06 09 00   935.8    -7.0     0.0     0                                  
1987 04 06 12 00   936.9    -7.6     0.0     0                                  
1987 04 06 15 00   937.4    -8.5     0.0     0                                  
1987 04 06 18 00   937.8    -9.1     0.0     0                                  
1987 04 06 21 00   937.7    -9.5     0.0     0                                  
1987 04 07 00 00   937.7    -8.2     0.0     0                                  
1987 04 07 03 00   936.8    -7.6     0.0     0                                  
1987 04 07 06 00   936.3    -7.2     0.0     0                                  
1987 04 07 09 00   935.7    -7.4     0.0     0                                  
1987 04 07 12 00   934.6    -7.4     0.0     0                                  
1987 04 07 15 00   932.9    -7.6     0.0     0                                  
1987 04 07 18 00   931.3    -7.6     0.0     0                                  
1987 04 07 21 00   928.9    -7.1     0.0     0                                  
1987 04 08 00 00   926.5    -5.4     0.0     0                                  
1987 04 08 03 00   925.2    -5.0     0.0     0                                  
1987 04 08 06 00   925.2    -6.3     0.0     0                                  
1987 04 08 09 00   925.5    -7.4     7.2    70                                  
1987 04 08 12 00   926.0    -8.0    16.8   100                                  
1987 04 08 15 00   926.8    -8.2     8.2    80                                  
1987 04 08 18 00   927.9    -8.2     3.9   111                                  
1987 04 08 21 00   928.7    -8.0     3.9    96                                  
1987 04 09 00 00   930.1    -8.2     8.6   113                                  
1987 04 09 03 00   930.9    -8.9     0.0     0                                  
1987 04 09 06 00   931.2    -9.6     0.0     0                                  
1987 04 09 09 00   931.2   -10.0     0.0     0                                  
1987 04 09 12 00   930.1    -9.7     4.9    45                                  
1987 04 09 15 00   928.6   -10.4    12.5    27                                  
1987 04 09 18 00   927.1   -10.6    17.4    45                                  
1987 04 09 21 00   924.9    -9.4    17.4    46                                  
1987 04 10 00 00   923.2    -8.0    25.9    53                                  
1987 04 10 03 00   923.7    -7.6     2.3   343                                  
1987 04 10 06 00   922.8    -7.9     6.8   309                                  
1987 04 10 09 00   922.2    -8.4     3.9   311                                  
1987 04 10 12 00   921.2    -8.8     0.0     0                                  
1987 04 10 15 00   919.8    -9.0     0.0     0                                  
1987 04 10 18 00   917.5    -9.1     6.2    56                                  
1987 04 10 21 00   916.0    -8.8    16.0    56                                  
1987 04 11 00 00   914.5    -7.1    19.3    66                                  
1987 04 11 03 00   914.1    -6.5    16.0    70                                  
1987 04 11 06 00   914.2    -7.1    17.4    41                                  
1987 04 11 09 00   914.4    -7.4    14.4    83                                  
1987 04 11 12 00   914.9    -7.4    28.9    62                                  
1987 04 11 15 00   915.4    -7.4    20.7    89                                  
1987 04 11 18 00   915.0    -7.4    27.5    66                                  
1987 04 11 21 00   915.6    -7.1    18.7    68                                  
1987 04 12 00 00   916.1    -7.0    28.9   101                                  
1987 04 12 03 00   917.6    -6.6     8.6    75                                  
1987 04 12 06 00   918.6    -6.3    15.0    61                                  
1987 04 12 09 00   918.9    -6.0    19.7    77                                  
1987 04 12 12 00   919.0    -5.6     5.3    66                                  
1987 04 12 15 00   918.3    -5.5    11.1    96                                  
1987 04 12 18 00   917.1    -5.6     8.2    93                                  
1987 04 12 21 00   916.8    -5.6     3.9    48                                  
1987 04 13 00 00   916.2    -5.6     0.0     0                                  
1987 04 13 03 00   915.4    -6.0     0.0     0                                  
1987 04 13 06 00   914.4    -5.6     0.0     0                                  
1987 04 13 09 00   913.9    -5.6     0.0     0                                  
1987 04 13 12 00   912.7    -5.7     0.0     0                                  
1987 04 13 15 00   910.5    -5.5     0.0     0                                  
1987 04 13 18 00   908.4    -5.2    18.7    65                                  
1987 04 13 21 00   907.0    -4.9    11.5    56                                  
