Nancy
Operated by US
latitude -77.91 longitude 168.17 height 25m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1983 01 17 00 00   994.8 -999       11.7   180                                  
1983 02 23 09 00   991.0   -22.6     4.9   160                                  
1983 02 23 12 00   991.4   -24.6     3.1   139                                  
1983 02 23 15 00   992.0   -26.6     0.4     0                                  
1983 02 23 18 00   993.3   -28.3     2.7   180                                  
1983 02 23 21 00   994.4   -26.4     2.1   153                                  
1983 02 24 00 00   996.0   -22.1     5.5   141                                  
1983 02 24 03 00   996.4   -17.1     4.5   165                                  
1983 02 24 06 00   997.1   -18.4     6.8   180                                  
1983 02 24 09 00   998.2   -15.5    10.3   162                                  
1983 02 24 12 00   999.8   -16.0    16.2   172                                  
1983 02 24 15 00  1000.7   -14.9    22.4   180                                  
1983 02 24 18 00  1002.3   -12.8    14.2   176                                  
1983 02 24 21 00  1004.8   -12.4     5.8   206                                  
1983 02 25 00 00  1005.7   -13.3     4.5   330                                  
1983 02 25 03 00  1005.5   -13.3     5.5   225                                  
1983 02 25 06 00  1005.0   -14.5    12.5   177                                  
1983 02 25 09 00  1004.7   -16.3    13.1   170                                  
1983 02 25 12 00  1003.5   -15.6     8.0   180                                  
1983 02 25 15 00  1002.5   -17.1    10.7   161                                  
1983 02 25 18 00  1001.9   -17.5     9.0   180                                  
1983 02 25 21 00  1001.2   -16.8     8.0   165                                  
1983 02 26 00 00  1000.0   -17.5     6.2   180                                  
1983 02 26 03 00   999.0   -17.5     7.2   180                                  
1983 02 26 06 00   998.0   -17.4     9.4   180                                  
1983 02 26 09 00   997.4   -17.9     7.2   180                                  
1983 02 26 12 00   996.9   -17.3    10.3   180                                  
1983 02 26 15 00   997.1   -17.8     0.4     0                                  
1983 02 26 18 00   996.8   -18.0    16.2   180                                  
1983 02 26 21 00   997.1   -19.0    19.3   180                                  
1983 02 27 00 00   997.4   -17.8    18.7   174                                  
1983 02 27 03 00   998.1   -16.8    12.5   177                                  
1983 02 27 06 00   998.6   -17.8    14.2   180                                  
1983 02 27 09 00   998.4   -18.0    12.5   180                                  
1983 02 27 12 00   998.8   -19.3     9.0   180                                  
1983 02 27 15 00   998.7   -20.6    11.1   170                                  
1983 02 27 18 00   998.3   -23.8     1.4    90                                  
1983 02 27 21 00   997.9   -23.9     1.4    90                                  
1983 02 28 00 00   997.8   -23.4     2.7    69                                  
1983 02 28 03 00   996.8   -22.3     1.0     0                                  
1983 02 28 06 00   996.3   -25.0     2.7    54                                  
1983 02 28 09 00   995.7   -28.4     5.5    45                                  
1983 02 28 12 00   995.4   -29.1     3.5    45                                  
1983 02 28 15 00   994.5   -31.4     4.1    32                                  
1983 02 28 18 00   993.3   -30.8     2.1    45                                  
1983 02 28 21 00   992.2   -29.3     0.0     0                                  
1983 03 01 00 00   991.2   -21.9     0.0     0                                  
1983 03 01 03 00   989.8   -23.1     1.4    44                                  
