Filchner_new
Operated by Germany
latitude -77.08 longitude -51.22 height 999m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by AWI

1991 01 01 00 00 -999    -999    -999    -999                                   
1991 02 17 09 00  1002.5   -28.0     1.7    89                                  
1991 02 17 12 00  1002.6   -24.9     4.0    91                                  
1991 02 17 15 00  1003.1   -21.0     3.5   106                                  
1991 02 17 18 00  1003.7   -18.1     2.4   143                                  
1991 02 17 21 00  1004.7   -19.2     3.0   133                                  
1991 02 18 00 00  1005.8   -17.4     4.2   133                                  
1991 02 18 03 00  1007.2   -21.6     5.6   125                                  
1991 02 18 06 00  1008.2   -22.6     3.1    87                                  
1991 02 18 09 00  1008.9   -22.6     5.2    83                                  
1991 02 18 12 00  1008.9   -21.1     5.0    88                                  
1991 02 18 15 00  1008.9   -18.9     8.3    87                                  
1991 02 18 18 00  1008.4   -19.7    12.4    87                                  
1991 02 18 21 00  1008.3   -22.3    15.0    87                                  
1991 02 19 00 00  1007.8   -25.1    11.1    87                                  
1991 02 19 03 00  1007.7   -23.9    13.9    87                                  
1991 02 19 06 00  1007.4   -19.8    14.0    88                                  
1991 02 19 09 00  1007.5   -18.4    11.8    88                                  
1991 02 19 12 00  1008.5   -18.5     8.7    87                                  
1991 02 19 15 00  1009.4   -20.6     4.2    88                                  
1991 02 19 18 00  1010.7   -19.4     3.3   327                                  
1991 02 19 21 00  1011.8   -19.1     7.5   313                                  
1991 02 20 00 00  1013.0   -18.0     9.9   268                                  
1991 02 20 03 00  1013.9   -18.4     8.0   312                                  
1991 02 20 06 00  1014.7   -17.5    10.7   312                                  
1991 02 20 09 00  1014.9   -17.6    12.5   313                                  
1991 02 20 12 00  1015.1   -16.2    19.7   313                                  
1991 02 20 15 00  1015.3   -15.4    18.7   313                                  
1991 02 20 18 00  1015.5   -14.7    14.6   307                                  
1991 02 20 21 00  1015.3   -17.5     9.9   337                                  
1991 02 21 00 00  1014.7   -19.9     9.6   358                                  
1991 02 21 03 00  1012.7   -19.8    11.8   357                                  
1991 02 21 06 00  1010.6   -20.8    10.4    42                                  
1991 02 21 09 00  1007.1   -18.2    19.5    42                                  
1991 02 21 12 00  1004.3   -16.8    20.4    42                                  
1991 02 21 15 00  1000.7   -15.5    26.5    42                                  
1991 02 21 18 00   996.5   -13.7    32.3    42                                  
1991 02 21 21 00   993.3   -13.8    32.0    43                                  
1991 02 22 00 00   990.5   -14.3    31.7    42                                  
1991 02 22 03 00   989.0   -16.8    22.3    43                                  
1991 02 22 06 00   987.5   -19.7    15.4    42                                  
1991 02 22 09 00   986.9   -21.2    10.6    33                                  
1991 02 22 12 00   985.6   -13.1    24.8   313                                  
1991 02 22 15 00   984.8    -9.2    25.3   267                                  
1991 02 22 18 00   986.5    -8.8    22.7   268                                  
1991 02 22 21 00   988.2   -10.3    23.1   268                                  
1991 02 23 00 00   990.8   -12.8    26.3   267                                  
1991 02 23 03 00   993.6   -11.8    17.5   268                                  
1991 02 23 06 00   995.4   -12.7    19.4   310                                  
1991 02 23 09 00   996.9   -13.6    25.8   312                                  
1991 02 23 12 00   997.5   -10.6    28.5   313                                  
1991 02 23 15 00   997.3    -8.7    29.7   313                                  
1991 02 23 18 00   998.2    -7.8    30.0   313                                  
